experiment_id,instrument,OpenTS per 5 minutes,CloseTS per 5 minutes,duration in hours,duration in minutes,job_id,amount,lowest_v,highest_v,profit_v,profit_p,max_DD,open_price,close_price,tp_p,Losing streak,Winning streak,Transform HH,Transform day/night,WEST,ASIA,total nr of trades,AVG trade duration,AVG nov-dec,AVG jan-may,AVG june-oct,profitable trades,Losing trades,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-17 1:40,2022-05-17 2:30,0:50,50,,"15,718",15361.38,15988.37,101.75,0.65,-2.27,5.01,5.05,3,0,4,1,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-17 16:10,2022-05-17 18:50,2:40,160,,"15,820",14878.02,15987.87,-353.42,-2.23,-5.95,5.27,5.16,3,1,0,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-17 20:10,2022-05-17 20:40,0:30,30,,"15,466",15362.19,15930.32,452.04,2.92,-0.67,5.01,5.16,3,0,1,20,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-18 13:40,2022-05-18 15:30,1:50,110,,"15,918",15065.86,16035.76,-217.7,-1.37,-5.36,4.92,4.86,3,1,0,13,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-18 17:20,2022-05-18 18:30,1:10,70,,"15,701",15308.78,16138.15,425.37,2.71,-2.5,4.54,4.67,3,0,1,17,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-18 20:00,2022-05-18 21:00,1:00,60,,"16,126",16078.15,16609.83,471.32,2.92,-0.3,4.5,4.63,3,0,2,20,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-19 1:30,2022-05-19 2:20,0:50,50,,"16,597",16364.29,16952.67,305.84,1.84,-1.4,4.51,4.6,3,0,3,1,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-19 3:40,2022-05-19 4:50,1:10,70,,"16,903",15983.67,16928.33,-251.88,-1.49,-5.44,4.47,4.41,3,1,0,3,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-20 16:20,2022-05-20 19:50,3:30,210,,"16,651",15452.92,16746.66,-527.7,-3.17,-7.2,4.63,4.49,3,2,0,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-21 3:20,2022-05-21 5:50,2:30,150,,"16,124",16073.72,16565.39,391.55,2.43,-0.31,4.26,4.37,3,0,1,3,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-21 21:30,2022-05-22 0:40,3:10,190,,"16,515",16396.1,16680.63,46.33,0.28,-0.72,4.64,4.66,3,0,2,21,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-22 13:50,2022-05-22 14:10,0:20,20,,"16,561",16479.26,16898.22,324.05,1.96,-0.5,4.74,4.84,3,0,3,13,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-23 16:10,2022-05-23 16:30,0:20,20,,"16,886",16838.94,17392.11,493.52,2.92,-0.28,4.97,5.12,3,0,4,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-23 18:50,2022-05-23 22:00,3:10,190,,"17,379",16210.57,17501.98,-569.39,-3.28,-6.72,5.11,4.95,3,1,0,18,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-24 0:20,2022-05-24 4:40,4:20,260,,"16,810",16233.66,16832.29,9.99,0.06,-3.43,4.77,4.78,3,0,1,0,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-24 10:50,2022-05-24 11:20,0:30,30,,"16,820",16807.06,17208.97,339.89,2.02,-0.07,4.6,4.7,3,0,2,10,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-24 16:00,2022-05-24 16:30,0:30,30,,"17,160",16916.54,17674.34,501.53,2.92,-1.42,4.47,4.6,3,0,3,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-25 8:00,2022-05-25 10:50,2:50,170,,"17,661",17423.99,17983.65,309.07,1.75,-1.34,4.73,4.82,3,0,4,8,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-26 10:20,2022-05-26 12:00,1:40,100,,"17,970",17385.34,18079.12,95.41,0.53,-3.25,4.4,4.43,3,0,5,10,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-26 15:10,2022-05-26 15:40,0:30,30,,"18,066",17965.03,18607.53,528.01,2.92,-0.56,4.15,4.27,3,0,6,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-27 6:40,2022-05-27 8:10,1:30,90,,"18,594",17910.96,18627.4,-75.6,-0.41,-3.67,3.89,3.88,3,1,0,6,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-27 16:40,2022-05-27 17:30,0:50,50,,"18,518",18410.88,19063.42,391.42,2.11,-0.58,3.97,4.06,3,0,1,16,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-30 10:10,2022-05-30 13:30,3:20,200,,"18,909",17878.44,19107.05,-367.02,-1.94,-5.45,4.46,4.38,3,1,0,10,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-31 8:10,2022-05-31 10:20,2:10,130,,"18,542",18528.48,19098.65,541.95,2.92,-0.07,4.49,4.62,3,0,1,8,0,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-31 15:40,2022-05-31 16:30,0:50,50,,"19,084",18812.32,19370.68,271.82,1.42,-1.43,4.44,4.51,3,0,2,15,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-05-31 20:40,2022-06-01 14:40,18:00,"1,080",,"19,356",17905.8,19595.03,-915.19,-4.73,-7.49,4.58,4.37,3,1,0,20,1,,,,,,,,,,,,
f3aef9c8-6bf0-4226-8478-a1505e87d281,PYRUSDT,2022-06-01 16:30,2022-06-01 20:00,3:30,210,,"18,441",17466.48,18440.96,-463.98,-2.52,-5.28,4.22,4.12,3,2,0,16,1,,,,,,,,,,,,
